xlinkID	xlink_1	xlink_2	xlink_3	xlink_4
4727	13940	8001	12713	8224
10508	10508	10508	9110	1142
13036	13472	8374	14440	11122
13472	13036	13622	10681	4453
13299	4466	7636	6496	13756
4466	13299	1958	9573	3512
9110	10508	12825	9032	14348
15984	3271	6993	2034	4955
3271	15984	10102	2519	4665
2297	7455	10186	12310	9270
7455	2297	15887	15120	12704
7236	9554	10298	3147	3016
9554	7236	441	8462	6966
867	3610	13446	1062	8287
3610	867	7008	4771	8860
11829	9044	7437	8994	8994
9044	11829	7797	15307	1590
8500	8500	8500	9398	12927
11831	13347	896	13349	5394
13347	11831	11658	15300	14718
2117	10803	6467	15735	8348
10803	2117	15735	13043	2630
11834	7405	10222	11428	10778
7405	11834	1007	7392	0
12368	2091	7344	6979	8038
2091	12368	14417	10772	6079
6399	13774	2012	767	14970
13774	6399	10167	14730	332
4990	10565	773	8244	1270
10565	4990	8492	896	1251
8123	11358	12827	719	719
11358	8123	9113	6609	12936
6597	5375	5205	5179	7819
5375	6597	562	8040	9168
15810	8339	13349	2340	16001
8339	15810	15424	10572	3704
13349	15810	251	11831	2657
2545	15427	5862	7705	635
15427	2545	15278	13764	14498
12687	6781	7793	1074	261
6781	12687	2004	5568	2929
9670	14479	882	5823	204
14479	9670	11381	12900	11591
14552	5878	9818	10486	5204
5878	14552	13515	6516	8005
5492	5492	5492	2415	8445
8003	6516	13698	12203	11427
6516	8003	5878	1000	9417
2815	2062	15653	868	11650
13300	15774	13388	13076	0
15774	13300	16128	5273	0
9569	8686	3018	5795	10692
8686	9569	7552	3936	1193
14341	7194	9778	11802	6921
7194	14341	10149	3090	12087
3438	12592	11938	7516	1181
12592	3438	14510	3812	164
7647	15900	2371	13148	5561
15900	7647	6357	587	6557
11508	9573	4634	2232	0
9573	11508	1509	6518	4466
13446	867	5642	13000	5861
3252	11229	13971	9360	10274
11229	3252	4955	12737	0
9790	2034	11299	4007	4092
2034	9790	15984	8224	6571
4780	6192	1364	1412	9026
6192	4780	5065	9974	4457
12443	13148	326	5988	840
13148	12443	13148	13148	7647
8173	6549	9570	4439	2262
6549	8173	11540	15591	14655
2262	8307	5931	8348	8173
8307	2262	10669	10615	3637
40	9756	4894	4894	180
9756	40	10964	12303	11706
12491	8262	4520	9953	10601
8262	12491	11174	13858	0
10995	3348	7092	14525	13227
3348	10995	11288	16115	11952
15957	3341	14262	1241	11317
3341	15957	4298	10848	8723
187	15401	10769	2853	15401
15401	187	46	11085	187
11085	12391	7800	15401	8730
12391	11085	5654	14417	6909
5146	754	14432	2954	8104
754	5146	15953	15306	10699
13043	1086	8492	1965	10803
1086	13043	3862	1926	12296
8492	10565	13282	9484	13043
11796	925	601	15882	1264
925	11796	5358	10778	4840
10523	14461	12349	4826	7305
14461	10523	810	14262	4128
4128	14214	16031	12545	14461
14214	4128	8839	14822	15997
6422	14983	1555	12012	12349
14983	6422	8222	8226	1512
5770	8144	11664	952	12633
8144	5770	61	12082	15893
2915	3850	257	11650	10149
3850	2915	869	11122	10983
2755	6552	8750	12691	11342
6552	2755	10689	2308	12411
11401	12990	6546	3090	12205
12990	11401	3932	4700	8559
7331	2855	6785	10331	1835
2855	7331	1781	1835	15787
14738	15543	11759	11703	8073
15543	14738	13096	11186	14743
